remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:11:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,LSL601_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSL601_FB_01,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSL601_FB_02,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSL601_FB_03,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSL602_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSL603_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV301_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV302_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV303_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV304_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P201_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P202_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P301_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P302_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P401_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P401_FB_01,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P401_FB_02,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P402_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P402_FB_01,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P403_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P404_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P601_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P601_FB_01,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P601_FB_02,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P602_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P603_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P6_P602_AUTOINP,"","AUTOINP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,PSH301_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,PSH301_FB_01,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P_NAHSO3_ORP_DUTY_FB,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P_RO_FEED_DUTY_FB,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P_RO_FEED_DUTY_FB_01,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P_UF_FEED_DUTY_FB,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,REDUNDANT_STATUS,"","RED_STAT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,UV401_FB,"","UV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
